Measure Mode: wall_time
Thread ID: 47046120247500
Fiber ID: 47046130648440
Total: 93.356253
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.05      0.045     0.045     0.000     0.000    19113   ActiveSupport::HashWithIndifferentAccess#regular_writer
  0.05      0.372     0.045     0.000     0.326     2056   <Module::Bootsnap::CompileCache::Native>#fetch
  0.05      0.045     0.045     0.000     0.000    37754   Module#<=
  0.05      0.740     0.045     0.000     0.695    19869  *Concurrent::Map#fetch_or_store
  0.05      0.106     0.045     0.000     0.061    43529   ActiveModel::Attribute#changed_in_place?
  0.05      0.297     0.045     0.000     0.252    13064   ActiveModel::Type::Helpers::TimeValue#serialize
  0.05      0.327     0.045     0.000     0.282    19448   ActiveRecord::AttributeMethods::TimeZoneConversion::TimeZoneConverter#deserialize
  0.05      0.191     0.044     0.000     0.147    13423   <Class::ActiveRecord::LogSubscriber>#runtime
  0.05      0.044     0.044     0.000     0.000    32482   Hash#to_hash
  0.05      0.187     0.044     0.000     0.143     8579   Arel::Visitors::ToSql#visit_Arel_Attributes_Attribute
  0.05      0.839     0.044     0.000     0.796    19846  *ActiveRecord::Type::TypeMap#fetch
  0.05      0.090     0.044     0.000     0.046     6378   <Class::Delegator>#const_missing
